"transaction_id","customer_id","account_number","account_type","transaction_timestamp","transaction_amount","transaction_type","counterparty_name","counterparty_account"
"56","395","78984159","Savings","2025-06-12T14:38:09.708000+00:00","970.32","Credit","Kristin Leannon","57739231"
"57","491","55908485","Checking","2025-05-19T01:08:25.851000+00:00","4329.57","Debit","Rodriguez, Wilkinson and Mayert","73798789"
"58","50","90469578","Loan","2025-08-25T08:52:07.529000+00:00","3291.83","Credit","Alberto Thiel","23205603"
"59","28","66312023","Checking","2025-10-17T18:53:51.419000+00:00","2861.89","Credit","Johanna Zieme","21965579"
"60","174","18389768","Savings","2025-02-02T22:27:06.339000+00:00","4785.71","Credit","Amelia Franey","41268161"
"61","271","52432963","Savings","2025-03-20T11:15:22.953000+00:00","4545.58","Credit","",""
"62","42","71001765","Loan","2025-01-08T07:54:29.127000+00:00","1278.96","Debit","",""
"63","388","2210146","Savings","2025-10-04T02:19:16.912000+00:00","3140.23","Credit","",""
"64","98","8450701","Savings","2025-09-28T17:10:09.044000+00:00","4694.64","Credit","Andres Bartoletti","6749199"
"65","81","98377041","Loan","2024-11-25T14:30:39.241000+00:00","2743.8","Debit","",""
"66","410","9651733","Loan","2025-08-03T07:09:41.718000+00:00","3388.72","Debit","Pfannerstill - Hirthe","68583463"
"67","45","62070550","Savings","2025-04-28T09:38:36.238000+00:00","216.43","Credit","Timothy Mann DDS","55490880"
"68","485","57534523","Loan","2025-04-01T23:29:33.285000+00:00","1640.33","Credit","",""
"69","189","37831177","Savings","2025-02-19T09:09:45.060000+00:00","1453.97","Credit","Franklin Franecki","67424715"
"70","90","18053494","Loan","2025-04-06T07:57:32.178000+00:00","2860.4","Debit","",""
"71","217","85827245","Savings","2025-05-10T07:53:00.868000+00:00","83.42","Credit","Katie Gorczany","20915906"
"72","445","40928140","Loan","2025-05-30T21:44:08.983000+00:00","4185.34","Debit","Mohr, Moen and Ankunding","81159218"
"73","279","94336139","Checking","2025-06-15T12:59:02.039000+00:00","4906.54","Debit","Anderson Inc","60556654"
"74","471","2230258","Savings","2025-03-08T01:23:34.354000+00:00","2665.16","Debit","Aufderhar and Sons","4800765"
"75","391","88765417","Checking","2024-12-06T22:45:26.474000+00:00","1263.16","Credit","Sherman Witting","75746796"
"76","209","44122140","Checking","2025-07-05T14:03:03.687000+00:00","17.89","Debit","",""
"77","39","93282424","Loan","2025-05-23T11:08:07.137000+00:00","2240.48","Debit","",""
"78","54","48503590","Loan","2025-04-14T14:07:58.027000+00:00","2171.38","Credit","",""
"79","142","7952784","Savings","2024-12-10T09:34:31.079000+00:00","3729.49","Credit","",""
"80","242","13804467","Checking","2025-06-08T03:15:31.937000+00:00","909.62","Debit","Mosciski - Terry","31617446"
"81","394","81179361","Checking","2025-02-13T22:03:50.832000+00:00","4646.74","Credit","Pamela Gorczany","63920720"
"82","73","39204061","Loan","2025-04-11T13:59:22.347000+00:00","55.74","Credit","Dustin Cummerata","73730036"
"83","247","35263169","Checking","2025-02-15T05:56:47.606000+00:00","3298.15","Credit","Elias Nader DVM","45705887"
"84","113","89078020","Loan","2025-08-30T22:14:34.446000+00:00","832.68","Debit","Sawayn - Kunze","6081424"
"85","42","71001765","Loan","2025-08-21T17:40:12.202000+00:00","890.46","Debit","",""
"86","116","12863092","Savings","2025-07-15T08:06:22.062000+00:00","3031.56","Debit","Altenwerth - Corkery","49227797"
"87","461","19993410","Checking","2025-04-04T15:18:54.378000+00:00","1539.39","Debit","Gerlach and Sons","15952048"
"88","285","43579704","Savings","2025-07-01T23:43:41.501000+00:00","190.91","Credit","",""
"89","456","34777883","Savings","2025-04-12T01:29:33.302000+00:00","1837.07","Credit","Maria Weissnat","36116406"
"90","239","61863406","Savings","2025-05-07T19:26:03.705000+00:00","1625.69","Debit","",""
"91","73","32125284","Loan","2024-11-21T11:39:02.911000+00:00","1002.87","Debit","Beahan Inc","98996161"
"92","357","45667868","Savings","2025-04-06T11:13:03.696000+00:00","879.74","Debit","Fahey LLC","98276241"
"93","323","19224816","Savings","2024-11-23T12:59:31.195000+00:00","1182.11","Debit","Wolff - Pouros","43408129"
"94","341","10109713","Checking","2025-06-28T13:20:18.652000+00:00","4358.09","Credit","Janet Nolan","71514132"
"95","110","6782684","Checking","2025-06-14T10:42:33.398000+00:00","2319.36","Debit","MacGyver and Sons","22198119"
"96","266","61061213","Savings","2025-01-17T11:24:33.562000+00:00","1156.54","Credit","",""
"97","458","87155289","Savings","2025-03-25T14:43:42.051000+00:00","4750.33","Credit","Ken Baumbach","66934015"
"98","172","54713171","Savings","2025-04-20T21:03:37.268000+00:00","1299.7","Credit","Beulah Davis-Bailey","31527520"
"99","394","81179361","Checking","2025-02-17T07:03:00.897000+00:00","3257.11","Debit","Mayer LLC","82684578"
"100","264","21415563","Savings","2025-05-19T09:47:27.509000+00:00","1237.75","Credit","Lorraine Jones-Berge","8418236"
"101","110","73238522","Loan","2025-01-09T17:16:26.249000+00:00","2203.36","Debit","Smith - Feil","6088327"
"102","86","65030414","Checking","2025-01-04T11:30:18.091000+00:00","3670.9","Credit","Dr. Elijah Cummerata","89128477"
"103","173","20481796","Checking","2024-11-25T17:53:43.139000+00:00","3648.21","Credit","Craig Stroman","65277647"
"104","68","75960425","Checking","2025-03-25T02:22:36.521000+00:00","1848.2","Credit","",""
"105","246","87731633","Loan","2025-10-06T08:26:42.120000+00:00","1265.6","Debit","Schoen - Mraz","51054619"
"106","18","84917981","Savings","2025-04-07T18:35:27.236000+00:00","2082.59","Credit","Warren Lubowitz","69611931"
"107","426","88526842","Savings","2024-11-10T13:44:43.394000+00:00","4632.27","Credit","",""
"108","51","73131643","Loan","2025-01-05T19:05:30.254000+00:00","1354.87","Credit","Mabel Bruen","98555530"
"109","304","93954284","Savings","2025-10-13T05:46:19.802000+00:00","125.16","Debit","Bartell LLC","14857764"
"110","363","71169819","Checking","2025-08-21T20:48:34.749000+00:00","2925.77","Credit","Jake Durgan","65501518"
"111","59","26548246","Savings","2024-11-01T18:21:47.985000+00:00","2117.36","Credit","Julius Windler","60013414"
"112","197","64382038","Savings","2025-09-14T19:02:57.695000+00:00","687.97","Debit","",""
"113","229","3041344","Checking","2024-10-25T22:48:27.999000+00:00","4429.15","Debit","Dach and Sons","53035396"
"114","444","89563346","Savings","2024-11-14T21:06:45.290000+00:00","4219.85","Credit","Dr. Thomas Goldner","91869104"
"115","151","35379482","Checking","2025-03-19T07:11:27.273000+00:00","387.75","Debit","",""
"116","255","34532546","Savings","2025-09-19T03:38:16.874000+00:00","3369.58","Debit","Lehner Inc","45141130"
"117","403","72637490","Checking","2025-10-14T14:13:09.776000+00:00","4125.28","Debit","Larkin, Nikolaus and Schneider","76369864"
"118","410","96354199","Checking","2025-05-15T03:45:02.472000+00:00","89.88","Debit","Hamill, Deckow and Emmerich","32958791"
"119","499","64098422","Loan","2025-09-25T21:07:04.807000+00:00","671.02","Credit","Gretchen Hoeger","39733554"
"120","18","84917981","Savings","2024-12-11T23:38:22.686000+00:00","3290.36","Debit","Morissette, Stracke and Little","56367546"
"121","357","45667868","Savings","2025-07-19T08:59:08.505000+00:00","2545.31","Credit","",""
"122","256","23099774","Savings","2025-09-23T06:14:41.640000+00:00","3424.84","Credit","Lana Thompson","92964327"
"123","184","91272134","Checking","2025-06-15T18:04:15.921000+00:00","2335.81","Debit","Gulgowski - Mayert","71222374"
"124","188","90378626","Checking","2025-01-21T23:50:40.752000+00:00","1705.24","Debit","",""
"125","283","85329027","Checking","2025-03-13T21:24:37.504000+00:00","2815.86","Debit","Klocko - Franecki","59700500"
"126","203","49628264","Checking","2025-01-24T20:50:13.455000+00:00","1607.91","Credit","Alberta Jenkins","44239770"
"127","323","19224816","Savings","2025-07-25T13:37:42.141000+00:00","1221.72","Credit","Amos Howell","12797996"
"128","273","8970177","Loan","2025-05-16T10:08:01.176000+00:00","1135.23","Debit","Green, Collins and Gottlieb","79523490"
"129","404","66542609","Loan","2025-07-22T06:22:02.606000+00:00","4954.04","Credit","",""
"130","198","83821216","Loan","2025-05-03T16:15:31.785000+00:00","4639.93","Credit","Frank Dicki Jr.","28731712"
"131","124","85672146","Savings","2025-01-01T15:44:38.403000+00:00","168.19","Credit","Josefina Lakin","83944535"
"132","122","89505182","Loan","2025-06-28T18:30:19.439000+00:00","1056.18","Credit","Misty Hettinger","94036453"
"133","278","55809644","Checking","2025-03-11T02:22:46.999000+00:00","1726.65","Debit","Trantow - Hane","71017431"
"134","235","70013127","Savings","2025-09-05T13:44:09.325000+00:00","1439.01","Debit","",""
"135","301","74482254","Checking","2025-08-09T05:01:07.782000+00:00","4315.82","Debit","Braun, Harber and Reilly","19113195"
"136","292","46446190","Savings","2025-06-25T21:45:14.739000+00:00","1713.27","Debit","Okuneva, Schamberger and Bins","23787027"
"137","116","12863092","Savings","2025-09-05T09:40:43.626000+00:00","2554.98","Debit","",""
"138","44","59186514","Loan","2025-07-03T12:34:11.911000+00:00","2697.55","Credit","Miss Hattie Bogisich","9073662"
"139","397","74271194","Checking","2025-08-19T23:16:57.886000+00:00","2857.81","Credit","Colleen Metz","62229375"
"140","222","43565417","Loan","2025-07-30T14:05:15.075000+00:00","531.14","Debit","Osinski, Strosin and Mann","99706195"
"141","371","38086260","Savings","2025-09-05T18:21:19.051000+00:00","4172.65","Debit","Murphy - Bergnaum","29046294"
"142","458","87155289","Savings","2025-02-22T21:34:25.589000+00:00","2860.26","Credit","",""
"143","11","79160554","Savings","2025-04-04T07:06:59.790000+00:00","2640.94","Debit","Hahn and Sons","70918151"
"144","122","12387438","Checking","2024-11-14T02:09:09.247000+00:00","741.86","Credit","Sheila Lebsack","86087056"
"145","34","66839412","Loan","2024-12-12T05:24:29.671000+00:00","608.8","Debit","Kuhic, Kuhn and Kuvalis","62962362"
"146","57","93792852","Loan","2025-03-29T13:25:40.215000+00:00","4313.94","Debit","Willms - Flatley","45580132"
"147","496","41729104","Loan","2025-06-24T21:18:03.957000+00:00","68.14","Debit","Rutherford LLC","63988123"
"148","404","51997932","Checking","2024-12-15T14:47:17.602000+00:00","4656.57","Credit","Oliver Mayer","97170365"
"149","491","99512481","Loan","2025-10-17T15:47:49.638000+00:00","3977.68","Debit","Kreiger, Lakin and Abbott","25185222"
"150","447","78320941","Savings","2024-12-19T11:54:55.399000+00:00","2140.03","Debit","",""
"151","122","52219937","Savings","2025-01-10T11:29:23.081000+00:00","2973.31","Credit","Charles Brakus","77378280"
"152","329","68229176","Checking","2025-01-15T22:06:12.397000+00:00","1601.71","Credit","",""
"153","440","73308022","Checking","2025-10-17T05:41:47.545000+00:00","3067.0","Debit","Hammes, Bartell and Gusikowski","95693210"
"154","428","99940220","Savings","2025-03-22T07:17:15.286000+00:00","2555.85","Credit","",""
"155","60","54044833","Checking","2024-11-08T01:34:00.909000+00:00","1506.64","Credit","",""
"156","369","38911942","Savings","2025-07-24T11:12:46.045000+00:00","3008.4","Debit","",""
"157","206","78529871","Loan","2025-06-08T21:26:41.174000+00:00","1364.77","Credit","Emilio Roberts","93389427"
"158","111","61480691","Loan","2025-07-12T23:05:36.751000+00:00","4292.68","Debit","Huels, Rippin and Hammes","78767476"
"159","264","67153799","Savings","2025-07-06T13:57:20.207000+00:00","4771.62","Credit","Mrs. Jan Reynolds","98457685"
"160","183","56876296","Checking","2025-06-09T14:50:55.320000+00:00","4945.51","Debit","Ondricka, Schowalter and Kovacek","12497168"
"161","335","55507194","Loan","2024-10-28T20:33:44.453000+00:00","4987.33","Debit","Grimes, Spencer and Feeney","93203927"
"162","391","88765417","Checking","2025-04-02T17:30:32.178000+00:00","3961.51","Debit","",""
"163","425","30735521","Checking","2025-03-25T10:42:01.766000+00:00","1084.73","Credit","Malcolm Oberbrunner II","12412841"
"164","132","13724897","Checking","2025-03-28T19:25:59.181000+00:00","1652.59","Credit","Karen Bashirian V","74279146"
"165","119","43628790","Loan","2025-05-21T02:26:21.270000+00:00","2306.7","Debit","Stokes, Schimmel and Jacobi","31348427"
"166","345","31405661","Loan","2025-06-12T03:54:38.475000+00:00","4861.2","Credit","Pearl Cassin","68365170"
"167","349","84834405","Loan","2024-11-16T07:45:23.322000+00:00","3163.37","Debit","Johns - Bins","36582269"
"168","375","39490268","Savings","2025-09-09T16:55:17.312000+00:00","3352.27","Debit","Skiles, Schultz and Beer","2308211"
"169","102","77045951","Savings","2024-11-18T11:00:04.976000+00:00","3685.11","Debit","Tromp, Kassulke and Donnelly","15102177"
"170","362","55160055","Checking","2025-06-19T16:22:27.466000+00:00","349.97","Credit","Loretta Kunze Sr.","4003177"
"171","89","37789737","Savings","2025-06-01T08:24:51.493000+00:00","3867.87","Debit","Larson Inc","82035694"
"172","448","75698259","Checking","2024-11-11T19:16:27.193000+00:00","2517.46","Debit","Marvin - Satterfield","20833625"
"173","121","73534672","Loan","2024-11-06T01:47:07.290000+00:00","1315.61","Credit","Randy Kris","24163714"
"174","210","38149566","Loan","2025-05-07T02:57:11.359000+00:00","4918.99","Debit","Fadel LLC","2264420"
"175","218","59214537","Savings","2025-03-27T23:37:18.239000+00:00","4456.73","Debit","Walter - Effertz","79720949"
"176","489","70096503","Savings","2024-11-17T03:53:52.271000+00:00","4153.09","Credit","",""
"177","144","55794206","Savings","2025-08-01T22:13:36.968000+00:00","998.8","Credit","Archie Block","30752580"
"178","131","5942652","Savings","2025-03-30T19:15:18.204000+00:00","635.59","Credit","Felipe Watsica","44561759"
"179","298","11615304","Loan","2025-07-28T23:15:20.647000+00:00","1335.37","Credit","Candice Donnelly","45659051"
"180","274","97123409","Checking","2025-09-14T22:33:49.344000+00:00","423.31","Debit","Kiehn and Sons","45083205"
"181","257","73180395","Loan","2025-07-22T01:25:54.511000+00:00","834.48","Credit","Dr. Eddie Ferry","51802665"
"182","394","81179361","Checking","2025-03-14T01:54:37.203000+00:00","1489.52","Credit","Brandon Wiza","27712019"
"183","372","4751439","Checking","2025-03-06T09:56:50.446000+00:00","2169.76","Debit","Koch, Smith and Torphy","11123396"
"184","82","95797752","Savings","2025-04-29T11:56:42.770000+00:00","4343.89","Credit","",""
"185","65","67386093","Loan","2025-09-26T05:54:45.934000+00:00","1164.91","Debit","Sawayn, Rodriguez and Ritchie","83862581"
"186","294","38196885","Checking","2024-11-29T13:46:13.706000+00:00","2184.65","Credit","Joanna Armstrong","23590694"
"187","49","8927413","Checking","2025-01-30T12:45:12.290000+00:00","1756.31","Credit","Kerry Hauck","60278156"
"188","334","7539859","Loan","2025-03-19T23:58:52.510000+00:00","1689.3","Credit","Violet Stroman","54718303"
"189","334","7539859","Loan","2024-12-13T07:19:36.962000+00:00","1601.84","Credit","Alice Toy","63075303"
"190","250","11649467","Loan","2025-03-15T15:32:33.735000+00:00","4445.67","Debit","Orn Group","77894452"
"191","101","49121164","Checking","2025-01-14T03:49:30.368000+00:00","2387.21","Debit","Ward - Predovic","30801560"
"192","80","67928227","Checking","2025-04-18T21:26:19.914000+00:00","1781.07","Credit","",""
"193","114","90791324","Checking","2025-03-03T08:40:07.688000+00:00","718.95","Debit","White - Beahan","86571101"
"194","463","56915216","Savings","2025-01-05T17:53:03.887000+00:00","641.8","Debit","Batz, Beahan and Rodriguez","98648222"
"195","393","84657443","Savings","2024-11-08T05:47:01.987000+00:00","2842.61","Credit","",""
"196","243","27524530","Savings","2025-03-31T20:41:53.378000+00:00","4873.92","Debit","",""
"197","484","19188277","Savings","2025-07-29T00:03:20.189000+00:00","3438.99","Credit","",""
"198","381","9059989","Checking","2025-04-08T17:50:17.265000+00:00","3468.17","Credit","Opal Zemlak","14920802"
"199","41","88314284","Loan","2025-02-15T11:48:24.819000+00:00","605.05","Debit","Wilderman - Walker","77386545"
"200","55","9150266","Loan","2025-08-06T00:09:25.122000+00:00","4057.41","Debit","Koelpin, Kuhic and Hartmann","99830743"
"201","396","4502626","Checking","2025-06-19T18:31:51.523000+00:00","399.22","Debit","",""
"202","170","9502816","Savings","2025-01-23T03:33:00.140000+00:00","2026.44","Credit","",""
"203","249","63834726","Savings","2024-11-30T22:35:58.207000+00:00","2515.13","Debit","Cummerata, Towne and Rippin","42110914"
"204","52","4725283","Loan","2025-02-07T18:09:32.206000+00:00","1270.19","Credit","Kelli Jacobson","11879358"
"205","402","93294084","Savings","2025-08-17T04:16:23.435000+00:00","2923.33","Debit","Smitham, Ortiz and Fadel","44303399"
"206","240","96783964","Checking","2025-07-04T06:20:08.781000+00:00","3002.18","Credit","April Schimmel","8251895"
"207","30","68975016","Savings","2025-07-12T11:29:28.250000+00:00","2647.7","Credit","",""
"208","77","89886493","Checking","2024-11-26T14:28:25.448000+00:00","4065.49","Debit","",""
"209","471","2230258","Savings","2025-09-13T20:56:17.266000+00:00","3517.3","Credit","Jeanne Gerlach","19282974"
"210","81","98377041","Loan","2025-03-01T11:12:27.323000+00:00","3230.33","Debit","Cummerata, Robel and Gleichner","66145331"
"211","247","35263169","Checking","2025-02-18T03:32:05.785000+00:00","3410.58","Debit","Marquardt Inc","8031906"
"212","421","10300152","Checking","2025-05-15T16:47:54.593000+00:00","3666.59","Debit","Lubowitz, Harris and Lockman","19303985"
"213","278","55809644","Checking","2025-01-21T17:31:34.352000+00:00","2259.92","Credit","Laurence Kilback","1407000"
"214","212","61005374","Savings","2025-04-13T00:51:43.441000+00:00","4511.5","Debit","Hackett, Parisian and Gibson","9623096"
"215","154","7832093","Loan","2025-01-12T21:32:31.194000+00:00","1657.21","Credit","",""
"216","469","54277498","Checking","2025-04-13T15:21:57.868000+00:00","2978.96","Debit","Koss - Johnston","32489096"
"217","372","4751439","Checking","2025-04-11T07:35:57.821000+00:00","694.68","Credit","Bernadette Batz","68419690"
"218","271","52432963","Savings","2025-06-23T05:52:00.969000+00:00","3264.06","Credit","",""
"219","485","57534523","Loan","2025-03-08T03:14:48.038000+00:00","3566.79","Credit","",""
"220","317","42062695","Savings","2024-12-24T10:39:18.392000+00:00","1187.56","Credit","Sharon Heaney","71543555"
"221","98","8450701","Savings","2025-03-17T00:35:25.814000+00:00","2954.69","Credit","",""
"222","333","70503981","Savings","2025-08-09T03:25:03.447000+00:00","1412.66","Credit","Edith Murazik","87957719"
"223","205","65122604","Checking","2025-05-21T15:43:58.398000+00:00","2494.15","Debit","Bogisich - Douglas","28852107"
"224","311","92071410","Checking","2025-03-27T00:14:57.960000+00:00","4233.91","Debit","Ledner LLC","33428205"
"225","413","47029214","Savings","2025-05-27T14:26:07.603000+00:00","2329.26","Credit","Caroline Hayes","151100"
"226","22","39534984","Savings","2025-02-02T11:37:18.550000+00:00","2146.42","Debit","Koelpin and Sons","79175146"
"227","316","14446783","Loan","2025-08-23T20:52:18.601000+00:00","4630.29","Credit","Myron Volkman","34024849"
"228","206","61194807","Savings","2025-02-05T18:46:30.077000+00:00","4878.68","Debit","Schmeler Inc","35598255"
"229","142","7952784","Savings","2024-12-04T20:27:45.853000+00:00","2509.08","Debit","Rosenbaum - Langworth","8239051"
"230","95","36958035","Savings","2025-02-20T22:16:31.824000+00:00","3193.76","Debit","Prosacco LLC","70441053"
"231","39","26288713","Loan","2025-01-17T23:26:05.863000+00:00","3112.44","Credit","Miranda Borer","76557343"
"232","330","20556492","Loan","2025-07-28T06:10:44.264000+00:00","703.49","Debit","Dickens - King","40300577"
"233","85","53707951","Loan","2025-01-05T09:07:19.958000+00:00","1092.04","Credit","Loren Olson","84834912"
"234","112","36971849","Checking","2025-10-10T16:34:29.285000+00:00","3184.05","Debit","Kreiger - Ortiz","46446019"
"235","479","49480278","Savings","2025-01-13T19:56:25.138000+00:00","1178.71","Debit","",""
"236","238","52443257","Loan","2025-03-26T18:29:12.487000+00:00","3511.95","Credit","",""
"237","298","11615304","Loan","2025-05-27T14:17:57.865000+00:00","2658.79","Debit","",""
"238","86","14705385","Loan","2025-01-14T06:08:31.924000+00:00","2625.45","Debit","",""
"239","455","78996498","Loan","2025-01-11T02:56:08.228000+00:00","3633.43","Credit","Terence VonRueden","50092644"
"240","473","20438001","Savings","2025-10-20T02:55:07.375000+00:00","541.31","Debit","Stanton - Okuneva","24065891"
"241","118","50743315","Savings","2025-07-28T22:28:52.463000+00:00","1549.53","Debit","Mohr, Hermiston and Schimmel","23885738"
"242","51","95565162","Checking","2025-04-17T12:23:57.069000+00:00","1693.8","Debit","",""
"243","154","80926343","Checking","2025-01-28T15:22:43.169000+00:00","3886.7","Debit","Brakus LLC","58253818"
"244","260","13889347","Loan","2025-08-22T15:50:25.862000+00:00","4700.1","Credit","Delia Becker","77348101"
"245","246","61352347","Loan","2025-09-24T04:17:13.460000+00:00","2965.97","Credit","Manuel Hintz","73287079"
"246","179","1564387","Savings","2025-02-16T20:18:03.151000+00:00","2288.53","Credit","Janie Howell","58190648"
"247","337","18368589","Checking","2024-12-27T00:17:43.764000+00:00","1193.3","Debit","Greenholt - Daniel","54564018"
"248","472","62431604","Savings","2025-08-24T05:16:35.498000+00:00","4969.34","Debit","Effertz, Wisozk and Heller","33680287"
"249","220","42734715","Checking","2025-01-25T22:58:55.204000+00:00","1492.61","Credit","Sandy Zulauf-Witting","34540504"
"250","265","41084191","Checking","2024-12-15T02:15:44.382000+00:00","2938.68","Debit","",""
"251","137","95728857","Savings","2024-12-28T09:46:41.111000+00:00","995.22","Credit","Dora Casper","28382873"
"252","69","60126934","Loan","2025-10-08T19:04:40.923000+00:00","4331.18","Debit","Schneider and Sons","93373801"
"253","229","3041344","Checking","2024-12-06T06:50:21.286000+00:00","4704.62","Credit","Miss Bernadette Greenholt","46120908"
"254","471","2230258","Savings","2024-11-28T02:12:09.565000+00:00","4119.13","Debit","Nienow, Pollich and Stoltenberg","6375636"
"255","143","30067909","Loan","2025-06-28T05:06:26.265000+00:00","67.05","Credit","Orville Langworth","21526850"
"256","286","89679052","Loan","2025-07-03T21:06:55.142000+00:00","3334.99","Credit","",""
"257","237","12436072","Checking","2025-10-11T09:33:07.981000+00:00","4070.37","Credit","Louis Brekke","63931356"
